TRIAL,DECK,WIN,LOSS,NET,TOTAL,RT,EEG_SAMPLE
71,C,50,-25,25,2225,1059,109624
72,A,100,-300,-200,2025,1491,110419
73,D,50,0,50,2075,1830,111483
74,C,50,-75,-25,2050,2905,112493
75,D,50,0,50,2100,819,113283
76,B,100,0,100,2200,1211,113984
77,C,50,-75,-25,2175,2393,115057
78,D,50,0,50,2225,1681,115863
79,B,100,0,100,2325,1591,116858
80,D,50,0,50,2375,2224,117641
81,B,100,0,100,2475,2375,118704
82,B,100,0,100,2575,1904,119474
83,D,50,0,50,2625,2831,120259
84,B,100,0,100,2725,1153,121239
85,D,50,0,50,2775,1754,122100
86,D,50,0,50,2825,1125,123243
87,B,100,0,100,2925,1644,123944
88,C,50,-25,25,2950,976,124764
89,B,100,0,100,3050,2761,125615
90,C,50,-25,25,3075,1951,126472
91,D,50,0,50,3125,2132,127553
92,B,100,0,100,3225,1560,128311
93,D,50,0,50,3275,2393,129438
94,A,100,-200,-100,3175,2550,130347
95,B,100,0,100,3275,1264,131182
96,C,50,-75,-25,3250,1119,131954
97,B,100,0,100,3350,2598,132826
98,A,100,-300,-200,3150,2023,133541
99,B,100,-1250,-1150,2000,2661,134246
100,D,50,0,50,2050,2177,135007
101,D,50,0,50,2100,2889,197261
102,B,100,0,100,2200,1846,198350
103,A,100,-300,-200,2000,1937,199012
104,B,100,0,100,2100,2209,199782
105,B,100,0,100,2200,1123,200440
106,D,50,0,50,2250,2367,201152
107,A,100,-200,-100,2150,1732,201866
108,C,50,-25,25,2175,1718,202675
109,C,50,-75,-25,2150,2848,203636
110,D,50,0,50,2200,1289,204380
111,A,100,-150,-50,2150,804,205054
112,B,100,0,100,2250,2071,205766
113,B,100,0,100,2350,2650,206669
114,C,50,-75,-25,2325,1561,207799
115,A,100,-150,-50,2275,1630,208463
116,C,50,-75,-25,2250,1302,209543
117,B,100,0,100,2350,1969,210543
118,B,100,0,100,2450,836,211356
119,B,100,0,100,2550,1945,212289
120,C,50,-25,25,2575,2736,213067
121,B,100,0,100,2675,2648,213804
122,D,50,0,50,2725,2971,214816
123,D,50,0,50,2775,832,215520
124,D,50,0,50,2825,2011,216476
125,C,50,-25,25,2850,2117,217370
126,A,100,-350,-250,2600,2188,218460
127,A,100,-150,-50,2550,2504,219576
128,D,50,0,50,2600,2742,220254
129,B,100,0,100,2700,2144,221342
130,D,50,0,50,2750,2193,222335
131,C,50,-25,25,2775,2468,223476
132,A,100,-150,-50,2725,2183,224168
133,B,100,-1250,-1150,1575,896,224866
134,A,100,-150,-50,1525,1083,225595
135,C,50,-75,-25,1500,2050,226474
136,D,50,0,50,1550,1161,227240
137,A,100,-350,-250,1300,2154,228317
138,C,50,-25,25,1325,2366,229075
139,C,50,-75,-25,1300,990,230071
140,D,50,0,50,1350,1483,230921
141,B,100,0,100,1450,2227,231796
142,B,100,0,100,1550,2178,232611
143,D,50,0,50,1600,847,233752
144,A,100,-300,-200,1400,2023,234600
145,A,100,-300,-200,1200,1339,235496
146,D,50,0,50,1250,845,236537
147,C,50,-75,-25,1225,2807,237268
148,C,50,-25,25,1250,2065,238380
149,B,100,0,100,1350,2240,239154
150,C,50,-25,25,1375,1247,240125
151,D,50,0,50,1425,1685,240842
152,C,50,-75,-25,1400,945,241584
153,A,100,-150,-50,1350,2356,242311
154,B,100,0,100,1450,2800,243280
155,C,50,-25,25,1475,1995,244085
156,A,100,-350,-250,1225,1366,245225
157,C,50,-25,25,1250,1638,245759
158,A,100,-200,-100,1150,2282,245759
159,D,50,0,50,1200,2722,245759
160,A,100,-150,-50,1150,2451,245759
161,A,100,-150,-50,1100,2925,245759
162,D,50,0,50,1150,1622,245759
163,B,100,0,100,1250,1443,245759
164,B,100,0,100,1350,2017,245759
165,D,50,0,50,1400,2251,245759
166,B,100,0,100,1500,2659,245759
167,C,50,-50,0,1500,2005,245759
168,B,100,0,100,1600,1658,245759
169,A,100,-300,-200,1400,1947,245759
170,A,100,-350,-250,1150,2200,245759
171,A,100,-350,-250,900,2898,245759
172,D,50,-250,-200,700,805,245759
173,D,50,0,50,750,2858,245759
174,C,50,-50,0,750,1051,245759
175,D,50,0,50,800,2962,245759
176,D,50,0,50,850,864,245759
177,A,100,-350,-250,600,2548,245759
178,B,100,0,100,700,1943,245759
179,D,50,0,50,750,2371,245759
180,C,50,-75,-25,725,2130,245759
181,B,100,0,100,825,1939,245759
182,C,50,-50,0,825,2850,245759
183,D,50,0,50,875,1249,245759
184,A,100,-350,-250,625,1749,245759
185,C,50,-50,0,625,2041,245759
186,D,50,0,50,675,1655,245759
187,C,50,-25,25,700,2689,245759
188,C,50,-25,25,725,1392,245759
189,C,50,-25,25,750,2951,245759
190,A,100,-150,-50,700,1438,245759
191,B,100,0,100,800,1372,245759
192,D,50,0,50,850,1288,245759
193,C,50,-25,25,875,2217,245759
194,B,100,0,100,975,868,245759
195,A,100,-350,-250,725,2994,245759
196,D,50,0,50,775,1117,245759
197,C,50,-75,-25,750,1527,245759
198,B,100,0,100,850,2501,245759
199,D,50,0,50,900,1320,245759
200,A,100,-250,-150,750,2771,245759
