TRIAL,DECK,WIN,LOSS,NET,TOTAL,RT,EEG_SAMPLE
58,B,100,0,100,1725,2243,96600
59,A,100,-150,-50,1675,861,97245
60,A,100,-350,-250,1425,2887,98021
61,D,50,0,50,1475,1595,98809
62,C,50,-25,25,1500,1776,99587
63,B,100,0,100,1600,1708,100623
64,B,100,0,100,1700,902,101528
65,C,50,-25,25,1725,2077,102566
66,C,50,-50,0,1725,2550,103525
67,D,50,0,50,1775,1016,104321
68,C,50,-25,25,1800,1163,105172
69,B,100,0,100,1900,2655,106037
70,D,50,0,50,1950,2914,106924
71,B,100,0,100,2050,2653,107862
72,C,50,-25,25,2075,1817,108864
73,A,100,-150,-50,2025,1444,109603
74,A,100,-150,-50,1975,1727,110648
75,C,50,-25,25,2000,2843,111626
76,B,100,0,100,2100,999,112300
77,A,100,-350,-250,1850,1087,113056
78,C,50,-50,0,1850,1333,114177
79,B,100,0,100,1950,2936,114846
80,D,50,0,50,2000,2574,115938
81,D,50,0,50,2050,989,116607
82,C,50,-25,25,2075,1795,117631
83,C,50,-25,25,2100,2588,118491
84,A,100,-150,-50,2050,2720,119636
85,B,100,0,100,2150,824,120472
86,C,50,-25,25,2175,2937,121417
87,A,100,-250,-150,2025,1332,122556
88,D,50,0,50,2075,1532,123242
89,C,50,-50,0,2075,1738,124258
90,B,100,0,100,2175,2043,125120
91,A,100,-200,-100,2075,843,126122
92,B,100,-1250,-1150,925,1552,126996
93,D,50,0,50,975,2826,127722
94,C,50,-25,25,1000,2228,128807
95,D,50,0,50,1050,1866,129647
96,C,50,-25,25,1075,2867,130429
97,D,50,0,50,1125,1195,131417
98,D,50,0,50,1175,1663,132143
99,A,100,-150,-50,1125,1962,132989
100,A,100,-150,-50,1075,2649,133636
101,B,100,0,100,1175,801,195806
102,A,100,-150,-50,1125,1973,196579
103,D,50,0,50,1175,948,197505
104,A,100,-150,-50,1125,1647,198297
105,C,50,-25,25,1150,1371,198984
106,A,100,-350,-250,900,973,199976
107,B,100,0,100,1000,2025,201112
108,B,100,0,100,1100,2716,201756
109,A,100,-150,-50,1050,1275,202493
110,B,100,0,100,1150,2877,203279
111,D,50,0,50,1200,2090,204356
112,A,100,-150,-50,1150,2248,205445
113,A,100,-300,-200,950,2891,206268
114,C,50,-50,0,950,1674,207262
115,B,100,0,100,1050,1957,208227
116,A,100,-150,-50,1000,1049,208931
117,A,100,-150,-50,950,2108,210032
118,D,50,0,50,1000,1374,210746
119,D,50,0,50,1050,2358,211450
120,A,100,-300,-200,850,2846,212389
121,C,50,-50,0,850,962,213358
122,D,50,0,50,900,1093,214180
123,A,100,-150,-50,850,2822,214956
124,D,50,0,50,900,2264,216009
125,D,50,0,50,950,1485,216702
126,D,50,0,50,1000,1072,217425
127,A,100,-300,-200,800,2204,218231
128,B,100,0,100,900,1916,219236
129,D,50,0,50,950,2834,220233
130,D,50,0,50,1000,2892,221361
131,D,50,0,50,1050,1839,222406
132,C,50,-25,25,1075,2480,223399
133,D,50,0,50,1125,2371,224180
134,B,100,0,100,1225,1771,224925
135,D,50,0,50,1275,1267,225674
136,C,50,-25,25,1300,849,226327
137,B,100,0,100,1400,1348,227303
138,C,50,-50,0,1400,877,228335
139,A,100,-250,-150,1250,1834,229482
140,C,50,-25,25,1275,2136,230495
141,B,100,0,100,1375,2965,231253
142,A,100,-150,-50,1325,1408,232301
143,A,100,-200,-100,1225,909,233370
144,D,50,-250,-200,1025,1857,234055
145,C,50,-25,25,1050,1416,234983
146,C,50,-25,25,1075,2167,236070
147,D,50,0,50,1125,1148,236792
148,A,100,-150,-50,1075,2811,237547
149,D,50,0,50,1125,2382,238453
150,C,50,-75,-25,1100,2543,239216
151,D,50,0,50,1150,897,240157
152,B,100,0,100,1250,2462,241159
153,C,50,-25,25,1275,1904,241900
154,C,50,-75,-25,1250,2751,242764
155,C,50,-25,25,1275,2400,243627
156,D,50,0,50,1325,1334,244535
157,D,50,0,50,1375,2898,245227
158,A,100,-150,-50,1325,1147,245759
159,D,50,0,50,1375,1569,245759
160,B,100,0,100,1475,2175,245759
161,D,50,0,50,1525,1615,245759
162,C,50,-75,-25,1500,2869,245759
163,A,100,-150,-50,1450,2950,245759
164,C,50,-75,-25,1425,2550,245759
165,C,50,-50,0,1425,1059,245759
166,C,50,-50,0,1425,2995,245759
167,A,100,-350,-250,1175,934,245759
168,A,100,-150,-50,1125,2664,245759
169,C,50,-75,-25,1100,2636,245759
170,D,50,0,50,1150,2599,245759
171,C,50,-75,-25,1125,2078,245759
172,C,50,-25,25,1150,861,245759
173,D,50,0,50,1200,1097,245759
174,D,50,0,50,1250,1343,245759
175,B,100,0,100,1350,908,245759
176,A,100,-150,-50,1300,2031,245759
177,C,50,-50,0,1300,1696,245759
178,C,50,-75,-25,1275,2294,245759
179,D,50,0,50,1325,2169,245759
180,D,50,0,50,1375,2776,245759
181,D,50,0,50,1425,2837,245759
182,B,100,0,100,1525,2845,245759
183,C,50,-25,25,1550,2097,245759
184,D,50,0,50,1600,2154,245759
185,D,50,0,50,1650,1849,245759
186,C,50,-25,25,1675,2229,245759
187,A,100,-150,-50,1625,2883,245759
188,A,100,-150,-50,1575,1271,245759
189,C,50,-50,0,1575,1979,245759
190,D,50,0,50,1625,1355,245759
191,D,50,0,50,1675,1802,245759
192,D,50,-250,-200,1475,1531,245759
193,C,50,-25,25,1500,2739,245759
194,D,50,0,50,1550,2321,245759
195,B,100,0,100,1650,1324,245759
196,D,50,0,50,1700,2765,245759
197,D,50,0,50,1750,1367,245759
198,C,50,-50,0,1750,1692,245759
199,B,100,0,100,1850,2627,245759
200,A,100,-150,-50,1800,2567,245759
