TRIAL,DECK,WIN,LOSS,NET,TOTAL,RT,EEG_SAMPLE
79,C,50,-25,25,275,1841,117152
80,C,50,-25,25,300,2398,117968
81,B,100,0,100,400,1412,118918
82,C,50,-50,0,400,2287,119809
83,A,100,-300,-200,200,1022,120530
84,D,50,0,50,250,1442,121363
85,A,100,-150,-50,200,2580,122454
86,C,50,-50,0,200,1696,123191
87,C,50,-25,25,225,2922,123922
88,B,100,0,100,325,2108,124700
89,B,100,0,100,425,1749,125822
90,A,100,-150,-50,375,2758,126677
91,B,100,0,100,475,892,127688
92,B,100,0,100,575,2027,128413
93,D,50,0,50,625,1366,129054
94,B,100,0,100,725,804,130086
95,B,100,0,100,825,1718,130821
96,A,100,-150,-50,775,1388,131511
97,B,100,0,100,875,1596,132354
98,D,50,0,50,925,1151,133049
99,C,50,-25,25,950,2335,133884
100,A,100,-350,-250,700,1009,134696
101,A,100,-200,-100,600,2311,197177
102,C,50,-50,0,600,2437,198015
103,D,50,0,50,650,994,199032
104,A,100,-150,-50,600,1897,199768
105,B,100,0,100,700,1032,200827
106,C,50,-75,-25,675,2056,201696
107,B,100,0,100,775,1263,202728
108,C,50,-75,-25,750,1601,203422
109,D,50,0,50,800,835,204403
110,C,50,-25,25,825,1699,205505
111,C,50,-75,-25,800,873,206224
112,B,100,0,100,900,2174,206878
113,D,50,0,50,950,1872,207952
114,C,50,-75,-25,925,2496,208645
115,C,50,-25,25,950,2207,209366
116,D,50,0,50,1000,1251,210389
117,D,50,0,50,1050,2045,211406
118,D,50,0,50,1100,1156,212522
119,D,50,0,50,1150,1229,213285
120,B,100,0,100,1250,2183,214061
121,D,50,0,50,1300,1000,214729
122,A,100,-150,-50,1250,1550,215452
123,A,100,-150,-50,1200,2513,216173
124,D,50,0,50,1250,1399,216906
125,C,50,-50,0,1250,2503,217894
126,C,50,-75,-25,1225,2533,218578
127,B,100,0,100,1325,1712,219221
128,C,50,-75,-25,1300,2535,219946
129,D,50,0,50,1350,916,220754
130,B,100,0,100,1450,1494,221807
131,B,100,0,100,1550,1256,222474
132,C,50,-25,25,1575,1072,223509
133,B,100,0,100,1675,1639,224317
134,B,100,0,100,1775,1006,225172
135,B,100,0,100,1875,1177,225829
136,B,100,0,100,1975,1308,226630
137,D,50,-250,-200,1775,2117,227388
138,C,50,-25,25,1800,1286,228200
139,A,100,-150,-50,1750,2300,229237
140,C,50,-25,25,1775,2417,230225
141,D,50,0,50,1825,2958,230961
142,C,50,-50,0,1825,2279,231894
143,B,100,0,100,1925,1845,232599
144,D,50,0,50,1975,2502,233636
145,B,100,0,100,2075,1632,234546
146,A,100,-150,-50,2025,1412,235663
147,A,100,-350,-250,1775,2290,236761
148,C,50,-25,25,1800,2182,237705
149,D,50,0,50,1850,1512,238771
150,D,50,0,50,1900,2879,239463
151,C,50,-25,25,1925,1140,240283
152,D,50,0,50,1975,925,240980
153,B,100,0,100,2075,1936,241803
154,B,100,0,100,2175,1939,242673
155,C,50,-25,25,2200,1854,243794
156,D,50,0,50,2250,2725,244594
157,B,100,0,100,2350,2690,245460
158,B,100,0,100,2450,1486,245759
159,C,50,-25,25,2475,1825,245759
160,B,100,0,100,2575,1991,245759
161,D,50,0,50,2625,1246,245759
162,A,100,-150,-50,2575,1793,245759
163,A,100,-300,-200,2375,1236,245759
164,D,50,0,50,2425,2075,245759
165,C,50,-25,25,2450,1317,245759
166,A,100,-150,-50,2400,1485,245759
167,A,100,-300,-200,2200,1239,245759
168,A,100,-150,-50,2150,2504,245759
169,B,100,0,100,2250,1871,245759
170,C,50,-50,0,2250,1521,245759
171,A,100,-150,-50,2200,2091,245759
172,D,50,0,50,2250,2452,245759
173,C,50,-50,0,2250,1055,245759
174,B,100,0,100,2350,1557,245759
175,B,100,0,100,2450,1073,245759
176,B,100,0,100,2550,2428,245759
177,D,50,0,50,2600,1090,245759
178,A,100,-250,-150,2450,801,245759
179,B,100,-1250,-1150,1300,2714,245759
180,C,50,-25,25,1325,1383,245759
181,B,100,0,100,1425,2837,245759
182,D,50,0,50,1475,1067,245759
183,C,50,-25,25,1500,2548,245759
184,C,50,-75,-25,1475,2253,245759
185,D,50,0,50,1525,1676,245759
186,B,100,0,100,1625,2337,245759
187,D,50,0,50,1675,1476,245759
188,B,100,0,100,1775,2449,245759
189,B,100,0,100,1875,2346,245759
190,D,50,0,50,1925,930,245759
191,D,50,0,50,1975,1114,245759
192,D,50,0,50,2025,2948,245759
193,C,50,-50,0,2025,2115,245759
194,C,50,-50,0,2025,2227,245759
195,D,50,0,50,2075,882,245759
196,A,100,-200,-100,1975,1788,245759
197,B,100,0,100,2075,1143,245759
198,C,50,-25,25,2100,2176,245759
199,D,50,0,50,2150,2406,245759
200,B,100,0,100,2250,2383,245759
